civil_status,dob,name,occupation,party,political_career,religion
 : Married, : 29-05-1946,"Hon. Perera, Dixon J, M.P.", : Landed Proprietor,Sri Lanka Freedom Party(SLFP),"Chairman - Colombo district Youth organisation
Member of Parliament - 1989 -1994
Member of Parliament - 1998", : Buddhism
 : Married, : 22-05-1947,"Hon. Perera, Arakahagodage Aloysius Reginald, M.P.", : Businessman,United National Party (UNP),1983 - 87 - Chairman of Wattala - Mabole Urban council\r\n1989 - Member of Parliament, : Roman Catholicism
 : Married, : 09-07-1946,"Hon. Peramuna, Sarathchandra, M.P.",,,, : Roman Catholicism
 : None,,"Hon. Pereira, Diwan Bahadur Ignatius Xavier, M.P.",,,,
 : None, : 21-11-1898,"Hon. Pelpola, Richard Stanley, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 30-04-1942,"Hon. Pelpola, George Nissanka Mahasan, M.P.",,United National Party (UNP),,
 : None, : 02-05-1910,"Hon. Peiris, Mahatelage Henry, M.P.",,Bolshevik-Leninist Party (BLP),,
 : Married, : 09-08-1944,"Hon. Peiris, Jayasuriya Mahathelge John Yooses, M.P.",,,, : Roman Catholicism
 : Married, : 20-09-1904,"Hon. Peeris, Malwattege Simon Andrew, M.P.",,United National Party (UNP),,
 : Married, : 11-11-1962,"Hon. LIONEL PREMASIRI, M.P.,, M.P.", : Attorney-at-Law,United National Party (UNP),,
 : Single, : 04-10-1959,"Hon. Peeris, Malwattage Nimal Ransiri, M.P.",,United National Party (UNP),"Candidtae - maharagama Paradesheeya Sabha; Candidate - Provincial Council, Colombo Distyrict; Organzer- Socialist Students' Front , Maharagama.", : Buddhism
 : Married,,"Hon. Pathmanathan, Ranganayaki (Mrs.), M.P.",,United National Party (UNP),,
 : Married, : 30-05-1948,"Hon. Pathmanathan, Kanagasabai, M.P.",,Illankai Tamil Arasu Kadchi (ITAK),, : Hindu
 : Married, : 24-02-1938,"Hon. Pathiranage, Benthota Richard de Silva, M.P.",,Sri Lanka Freedom Party(SLFP),, : Buddhism
 : Married, : 27-11-1952,"Hon. P.D. ABEYRATNE, M.P.,, M.P.", : Businessman,United National Party (UNP),Chairman- Maputugala UNP Youth Society;  Chairman-- Horana Regional Council;  Secretary-- Horana UNP Bala Mandalaya;  Memberof the Develpment Coouncil;  Provincial Council Member  in the kalutara Distrct., : Buddhism
 : Married, : 18-04-1921,"Hon. Pathirana, Jaya, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 12-06-1912,"Hon. Pasqual, Dayasena Turnolius, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Pararasasingham, Ellayathamby, M.P.",,Independent (Ind),,
 : Married, : 28-03-1883,"Hon. Panabokke, Tikiri Banda (Sir), M.P.",,LabourParty (LP),,
 : Married, : 11-05-1909,"Hon. Panabokke, Theodore Braybrooke, M.P.",,United National Party (UNP),,
 : Married, : 03-09-1951,"Hon. MAITHRIPALA SIRISENA, M.P.,, M.P.", : Farming,United People's Freedom Alliance(UPFA),"
,
,
,
,
,
", : Buddhism
 : None, : 04-01-1891,"Hon. Pakeman, Sidney Arnold, M.P.",,,,
 : None,,"Hon. Palansuriya, Kalalelle Ananda Sagara, M.P.",,Viplawakari Lanka Sama Samaja Party(VLSSP),,
 : Married, : 03-04-1961,"Hon. P. PIYASENA, M.P., , M.P.",,Illankai Tamil Arasu Kadchi (ITAK),Full time Politics, : Buddhism
 : None, : 27-04-1908,"Hon. Romanis, Aruma Upasakage, M.P.",,United National Party (UNP),,
 : Married, : 27-02-1918,"Hon. Rodrigo, Joseph Emmanual John, M.P.",,,,
 : Married, : 30-10-1928,"Hon. Robertson, Alec, M.P.",,United National Party (UNP),,
 : Married,,"Hon. MR. RICHARD PATHIRANA, M.P.,, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 09-02-1941,"Hon. Rekawa, Ariya Bandara, M.P.", : Attorney-at - Law,United National Party (UNP),Mayor of the Municipal Council -1979;Minister in the Provincial Council-1989;, : Buddhism
 : Married, : 12-11-1947,"Hon. REGINOLD COORAY, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 22-04-1937,"Hon. REGGIE RANATUNGA, M.P.,, M.P.", : Businssman,United People's Freedom Alliance(UPFA),Joined the SLFP in 1962., : Buddhism
 : None,,"Hon. Ratwatte, Wilfred Abeyratne, M.P.",,United National Party (UNP),,
 : None, : 10-05-1899,"Hon. Ratwatte, Wijesundara Seniviratne P. A. B. W. M. W. H. L., M.P.",,United National Party (UNP),,
 : None, : 19-03-1927,"Hon. Ratwatte, Clifford Senaka, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married,,"Hon. GENERAL ANURUDDHA RATWATTE, M.P.,, M.P.",,People's Alliance (PA),,
 : None, : 13-04-1932,"Hon. Ratwatte, Mallika Ellawala (Mrs.), M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Ratwatte Adigar, Jayatilaka Cudah, M.P.",,Independent (Ind),,
 : None, : 10-08-1909,"Hon. Victor Garvin Weerawardana Ratnayake, M.P.",,United National Party (UNP),,
 : None,,"Hon. Ratnayake, Sepala William Daineris, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 04-04-1926,"Hon. Ratnayake, Ratnayake Mudyanselage Kalubanda, M.P.",,United National Party (UNP),,
 : Married, : 07-01-1900,"Hon. Ratnayake, Ratnayake Wasala Mudiyanselage Abeyratne, M.P.",,United National Party (UNP),,
 : None, : 26-11-1920,"Hon. Ratnayake, Pahala Ralle, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 11-11-1942,"Hon. Ratnayake, Ratnayake Mudiyanselage, M.P.",,United National Party (UNP),,
 : Married, : 23-02-1924,"Hon. Ratnayake, Kiri Banda, M.P.",,People's Alliance (PA),,
 : Widow , : 25-11-1946,"Hon. (Mrs.) Ratnayake, Disawe Mudiyanselage Hema (Mrs.), M.P.", : Trained Teacher,Sri Lanka Freedom Party(SLFP),, : Buddhism
 : None,,"Hon. Ratnayake, Amarananda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 07-02-1938,"Hon. R. M. DHARMADASA BANDA, M.P.,, M.P.", : Attorney-at-Law,United National Party (UNP),, : Buddhism
 : Married, : 22-11-1925,"Hon. Appuhamy, Ratnayake Mudiyanselage, M.P.", : Agriculturist,United National Party (UNP),Took politics in 1956; in 1963 elected Member of Ward 3 in the Bandarawela Urban Council; first contested for Parliament seat in 1965 at Haputale as Independent defeated.; Contested 1970 on the UNP ticket again defeated.; In 1977 was elected MP for Bandarawela by defeating his SLFP opponent Mr. R.M. Appuhamy; 1978-1989 District Minister for Badulla., : Buddhism
 : Married, : 02-01-1956,"Hon. MR. ANANDA RATNAYAKE, M.P.,, M.P.",,People's Alliance (PA),Vice Chairman  Thamankaduwa Pradeshiya Sabha ;  North Central Provincial Council Member;  North Central Provincial Council Minister., : Buddhism
 : None, : 08-01-1903,"Hon. (Dr.) Ratnapala, Amaradasa (Dr.), M.P.",,,,
 : Married, : 05-05-1933,"Hon. RATNASIRI WICKRAMANAYAKA, M.P.",,United People's Freedom Alliance(UPFA),-, : Buddhism
 : None,,"Hon. Ratnarajah, Sivapragasam, M.P.",,Independent (Ind),,
 : Married, : 10-03-1914,"Hon. Ratnam, Kathigesar Ponnambalam, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : None, : 13-12-1912,"Hon. Ratnamalala, Ran Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Single, : 17-06-1970,"Hon. Rathnayake, Rathnayake Mudiyanselage Gamini, M.P.",,Janatha Vimukthi Peramuna (JVP),,
 : Single, : 17-06-1970,"Hon. R.M. GAMINI RATHNAYAKE, M.P., M.P.",,United People's Freedom Alliance(UPFA),Chairman Kegalle District Bala Mandalaya;  Member - Sabaragamuwa Provincial Council - 2000, : Buddhism
 : None,,"Hon. Rasamanickam, Sinnappu Moothathamby, M.P.",,Federal Party (FP),,
 : Single, : 20-03-1962,"Hon. Rasamanickam, Alagaiah alias Rajamanickam, M.P.",,Independent 2-J (Ind),, : Hindu
 : Married, : 15-05-1960,"Hon. MR. RAJAH KUGANESWARAN, M.P., M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Married, : 20-09-1969,"Hon. MR. SANJEEVA KAVIRATNE, M.P.", : Journalist,United National Party (UNP),U. N. P. Member of the Central Provincial Council - 1993,
 : Married, : 21-11-1933,"Hon. Rasalingam, Thambipillai, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : None,,"Hon. Ranjith, Wekada Vitharanage Mohiman, M.P.",,United National Party (UNP),,
 : Married, : 05-06-1945,"Hon. MR. RAVINDRA RANDENIYA, M.P., M.P.", : Film Artist,United National Party (UNP),Active member of UNP since 1977;  Entered Parliament as a National List MP in 2000;  Contested and elected  Member of Parliament for District of Gampaha., : Roman Catholicism
 : Married, : 02-02-1953,"Hon. Ranaweera, Withanage Sunil Shantha, M.P.",,United National Party (UNP),,
 : Married, : 20-03-1924,"Hon. Ranaweera, Donald Jasen, M.P.",,United National Party (UNP),,
 : Divorced, : 15-07-1951,"Hon. Ranawaka, Jayasiri Sarath Kumara, M.P.",,United National Party (UNP),,
 : Married, : 14-02-1956,"Hon. JAYATISSA RANAWEERA, M.P.,, M.P.", : Businessman,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 31-03-1950,"Hon. Ranatunga, Wijeyasundara Bandara, M.P.", : Planter,United National Party (UNP),Private Secretrary to Hon D.B. Ranatunga; Contested the 1977 General Election, : Buddhism
 : None, : 13-02-1932,"Hon. Ranatunga, Ranatunga Mudiyanselage Dingiri Banda, M.P.",,United National Party (UNP),,
 : Married, : 29-06-1928,"Hon. Ranatunga, Chandradasa, M.P.", : Attorney-at-Law and Notary Public.,United National Party (UNP),"Member of UNP from 1960;President of the UNP Youth League, Mawanella from 1961 - 1970;Vice President of Mawanella UNP Organisation", : Buddhism
 : Married, : 31-07-1946,"Hon. MR. TUDOR DAYARATNA, M.P.,, M.P.",,People's Alliance (PA),"1969 Contested for Bandaragama Town Council from SLFP; Organizer, Bandaragama SLFP 1979; from 1984 to 1994 SLMP Full Time Political Activities; 1994 Appointed National Organizer In SLMP; 1995 Organizer, SLFP, Bandaragama.; 1988-1993-1999 Three Times M.P. Of The Western Provincial council: To 1999 April 29 Minister Of Provincial Council.",
 : Married, : 09-10-1947,"Hon. Ranasinghe, Sunethra (Mrs.), M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 04-01-1927,"Hon. Ranasinghe, Arthur Jayasena, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 03-11-1926,"Hon. Ranaraja, Shelton, M.P.",,United National Party (UNP),,
 : None,,"Hon. Ranaraja, Punchi Banda, M.P.",,,,
 : None,,"Hon. Rameshwaran, Rajendran, M.P.",,Independent 2-J (Ind),,
 : None, : 13-10-1885,"Hon. Rambukwella Dissawa, H. E. W. M. Herath Banda, M.P.",,United National Party (UNP),,
 : Married,,"Hon. Rambukpota, George Christopher, M.P.",,Independent (Ind),,
 : None, : 01-01-1892,"Hon. Rambukpota, Seneviratne Mudiyanselage Justin Arthur, M.P.",,United National Party (UNP),,
 : Married, : 26-10-1904,"Hon. Ramalinkam, Thamotharapillai, M.P.",,Tamil Congress (TC),,
 : None, : 17-07-1907,"Hon. Ramanujam, Desigar, M.P.",,Ceylon Indian Congress (CIC),,
 : Single, : 02-07-1967,"Hon. Ramamoorthy, Rajendran, M.P.",,Independent 2-J (Ind),, : Hindu
 : None,,"Hon. Ramalingam, Malayappan, M.P.",,Independent (Ind),,
 : Married, : 22-01-1963,"Hon. RAMALINGAM CHANDRASEKAR, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),Full time politics., : Hindu
 : Single, : 16-05-1954,"Hon. RAJIVA WIJESINHA, M.P.,, M.P.", : Academician,United People's Freedom Alliance(UPFA),(Failed)candidate for Libaral Party in 1988 Provincial council Election ;1999 Presedential Election;2000 Parliamentary  Election;Chairmen Council  of Asian  Liberals & Democuats -2010; Vice president Liberal International 1997/2008., : Christianity
 : None, : 08-10-1909,"Hon. Rajavarothiam, Navaratnam Ratna, M.P.",,Federal Party (FP),,
 : Married, : 21-12-1920,"Hon. Rajaratnam, T. W., M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 22-10-1927,"Hon. Rajaratna, Konara Mudiyanselage Podiappuhamy, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 12-12-1925,"Hon. Rajaratna, Kusuma (Mrs.), M.P.",,Independent (Ind),,
 : Married,,"Hon. BASIL ROHANA RAJAPAKSA, M.P., M.P.",,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 22-04-1947,"Hon. Rajapakse, Gamini, M.P.",,United National Party (UNP),,
 : Married, : 07-07-1946,"Hon. Rajapakse, Lionel, M.P.",,Sri Lanka Freedom Party(SLFP),, : Buddhism
 : Married, : 26-04-1948,"Hon. Rajaratnam, Sivasamy, M.P.",,United National Party (UNP),, : Hindu
 : None, : 26-08-1905,"Hon. Rajapakse, Don Roy Zephrin, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Rajapakse, Alexander Edmund de Silva Wijegooneratne S., M.P.",,UNION I,,
 : Married, : 27-12-1924,"Hon. Rajapaksa, Rajapaksa Dewage Ranapala Wijayawardena, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 24-07-1924,"Hon. Rajapaksa, Lakshman, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 25-12-1926,"Hon. Rajapaksa, George, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Rajapaksa, Dedigama Dewage Lilian Leticia (Mrs.), M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 30-03-1905,"Hon. Rajapaksa, Don Alwin, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Rajapaksa, Don Mathew, M.P.",,,,
 : Married, : 06-06-1937,"Hon. Rajan, Asirvatham Masilamany Daniel, M.P.", : Trade Unionist,United National Party (UNP),Funtioned as district and provincial Council Member - Sabaragamuwa, : Roman Catholicism
 : Married, : 05-01-1949,"Hon. SURANIMAL RAJAPAKSA,, M.P.", : Landed Proprietor,United National Party (UNP),"Executive member of the Gampaha Development Council ( Until the dissolution of the D.D.C. ); Provincial Council Minister (Western Province) of Education,  Youth Sports, Youth women and Rural Affairs",
 : None, : 03-12-1909,"Hon. Rajalingam, Kalimuthu, M.P.",,Ceylon Indian Congress (CIC),,
 : Married, : 27-03-1927,"Hon. Rajakaruna, Rajakaruna Mudiyanselage Jayasena, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None, : 20-09-1907,"Hon. Rajakulendran, John Gladstone, M.P.",,,,
 : None,,"Hon. Raheem, Seyyadu Abdul, M.P.",,United National Party (UNP),,
 : Married, : 22-07-1940,"Hon. SARATHCHANDRA  RAJAKARUNA, M.P.,, M.P.",,United National Party (UNP),,
 : Married, : 27-07-1927,"Hon. Rajadurai, Chelliah, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Single, : 25-06-1983,"Hon. ERIC PRASANNA WEERAWARDHANA, M.P., , M.P.", : Engineer,United People's Freedom Alliance(UPFA),, : Buddhism
,,"Hon. R.D. WIMALADASA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),,
 : Married, : 13-06-1950,"Hon. R. YOGARAJAN, M.P., M.P.", : Engineer,United National Party (UNP),"Electroral Reforms; 
Human Rights;  
1993/WPC; 
1994-2004 Parliament Member.", : Hindu
 : Married, : 27-10-1964,"Hon. R.P.A. RANAWEERA PATHIRANA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),,
 : Married, : 29-10-1930,"Hon. Suraweera, Alankarage Victor (Prof.), M.P.", : Professor,,, : Buddhism
 : Married, : 30-06-1950,"Hon. MR. S. SATHASIVAM, M.P.,, M.P.", : Trade Unionist.,People's Alliance (PA),Gramodaya Mandala  Chairman; Deputy Mayor; 1988 - Provincial Council Member ( C. P. ); Minister of Provincial council ( C. P. ) up to 24th August 1994., : Hindu
 : Married, : 19-08-1895,"Hon. Suntheralingam, Chellappah, M.P.",,Independent (Ind),,
 : Married, : 26-03-1967,"Hon. PERUMAL RAJATHURAI, M.P.,, M.P.", : Attorney - at - Law.,United People's Freedom Alliance(UPFA),, : Hindu
 : None,,"Hon. Sumanatilaka, Piyadigamage Premachandra, M.P.",,United National Party (UNP),,
 : Married, : 18-06-1936,"Hon. Sumathiratne, Piyaweera, M.P.",,United National Party (UNP),,
 : Married, : 20-04-1949,"Hon. Sumathipala, Subasinghe Mudiyanselage Premarathna, M.P.", : Grama Niladhari,,, : Buddhism
 : Married, : 07-07-1912,"Hon. Sugathadasa, Vithana Arachchige, M.P.",,United National Party (UNP),,
 : None,,"Hon. Sunderam, Perianan, M.P.",,LabourParty (LP),,
 : None, : 08-07-1908,"Hon. Sugathadasa, Kumara Vidanelage Don, M.P.",,United National Party (UNP),,
 : None,,"Hon. Sugathadasa, Kithalawa Arachchilage Senarath, M.P.",,,,
 : None,,"Hon. Subramaniam, Mylvaganam Mudaliyar, M.P.",,,,
 : None, : 19-10-1912,"Hon. Subbiah, Sangaralingam Muniandi Pillai, M.P.",,Ceylon Indian Congress (CIC),,
 : Married, : 27-09-1916,"Hon. Subramaniam, Muthu Canapathipillai, M.P.",,,,
 : Married, : 23-03-1963,"Hon. S.K. SUBASINGHE, M.P., M.P.",,United People's Freedom Alliance(UPFA),Engaged in Fulltime Politics., : Buddhism
 : None,,"Hon. Stewart, George King, M.P.",,,,
 : Married, : 14-08-1913,"Hon. Subasinghe, Subasinghe Mudiyanselage Tikiri Banda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : None,,"Hon. Stewart-Smith, Dudley Cautley, M.P.",,,,
 : Married, : 08-09-1962,"Hon. SRIPATHI SOORIYAARACHCHI,  M.P.,, M.P.", : Attorney-at-Law,United People's Freedom Alliance(UPFA),, : Buddhism
 : None,,"Hon. Srinivasan, Kanapathipillai, M.P.",,Tamil United Liberation Front (TULF),,
