content,date,title
"The Bill entitled “National Audit” was passed with amendments in Parliament today (July 05,). It was presented to Parliament on the 03, of April 2018 by the Hon. Chief Government Whip on behalf of the Hon. Prime Minister and Minister of National Policies and Economic Affairs.,This Bill provides for the powers, duties and functions of the Audit Service Commission and the establishment of the office of the National Audit Office and the Sri Lanka State Audit Service. It also specifies the role of the Auditor General over public finance.",05-07-2018,“National Audit” Bill is passed
"A delegation from Vietnam visited Parliament of Sri Lanka on 19th July 2018 and paid a courtesy call on Hon. Karu Jayasuriya, Speaker at Parliamentary complex.,A sapling of the Sacred “Jayasri Maha Bodhi” was gifted to the Vietnam temple in order to strengthen further cultural relations between the two countries. This ceremony was held in Anuradhapura.",23-07-2018,Visit of a delegation from Vietnam
"Parliament of Sri Lanka’s official website (parliament.lk) received three awards at the “,” awards ceremony organized by the LK Domain Registry. The ceremony was held at the Galadari Hotel, Colombo on the 18, of July 2018. Parliament’s website received Silver for the Government and Tamil categories, while gaining Bronze in the Sinhala category.,This year’s competition was organized for the 8th time, and as in the past, winners were chosen based on the number of votes, web traffic and marks given by judges. Websites are judged on creativity, quality of graphics & design, artistry, technological expertise and the quality of the content, made available to the user. A total of nearly 400 websites participated in the competition under 9 categories. Awards were presented for three special categories as well. Parliament.lk has previously won at this competition in ,, ,, ,, ,, , and ,.,Many distinguished guests and academics together with the winners of the contest graced the award ceremony. Chairman of the ICT Agency of Sri Lanka, Prof. Rohan Samarajiva, was the Chief Guest.",19-07-2018,Parliament.lk receives three awards at “BestWeb.lk” competition
"The Parliament of Sri Lanka in collaboration with Inter-Parliamentary Union (IPU) will organize the South Asian Speakers’ Summit on Achieving the Sustainable Development Goals in Colombo from 11th to 12th July 2018.,The Summit will follow up on the conclusions of the second Summit of Speakers in Indore (India) and the first Summit held in Dhaka (Bangladesh). It will aim to discuss how Parliaments can be a development actor promoting the effective implementation of the SDGs.,The summit is intended for Speakers of Parliament from Afghanistan, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Pakistan and Sri Lanka.,The opening ceremony will take place at Parliamentary Premises on 11th July while the conference sessions will be held on 11th and 12th July at Hotel Hilton, Colombo.,The summit will be inaugurated by Hon. Ranil Wickremesinghe, Prime Minister and Minister of National Policies and Economic Affairs who will also deliver the key note address at the Opening Ceremony. Hon. Karu Jayasuriya, MP, Speaker of Parliament will deliver the welcome speech at the inauguration.,The summit is expected to place particular emphasize on the topics of  the role of sustainable and green industrialization in the realization of the SDGs in South Asia, the role of Parliaments in promoting decent work and safe and secure working environments and Parliaments as promoters of social and economic inclusion in South Asia.,The summit will be followed by a field visit to Sri Lanka Institute of Nanotechnology (SLINTEC) arranged for the participants by the Parliament of Sri Lanka.",06-07-2018,South Asian Speakers’ Summit on Achieving the Sustainable Development Goals
"The inaugural ceremony of the South Asian Speakers’ Summit on Achieving the Sustainable Development Goals took place at Parliamentary Premises on 11th July 2018.,This was graced by the presence of the Hon. Prime Minister, Hon. Speakers of Parliament from Afghanistan, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Pakistan and Sri Lanka, Hon. Deputy Speaker of Parliament of Sri Lanka, Hon. Deputy Chairman of Committees of Parliament of Sri Lanka and Hon. Members of Parliament.,Hon. Karu Jayasuriya, MP, Speaker of Parliament delivered the welcome speech. After the welcome speech, Hon. Ranil Wickremesinghe, Prime Minister and Minister of National Policies and Economic Affairs made the key note address at the Opening Ceremony.",11-07-2018,Inaugural Ceremony of the South Asian Speakers’ Summit on Achieving the Sustainable Development Goals
" was passed with amendments in Parliament today.,This Bill was presented on the 6, of March 2018 by the Hon. Minister of Justice. It amends the Judicature Act, No. 2 of 1978. The , in regard of the Bill was announced to the House by the Hon. Speaker on the 03, of April 2018.,This makes provisions for a Permanent High Court at Bar to try, hear and determine the trials of the offences specified in the Sixth Schedule of the Act.",09-05-2018,Judicature (Amendment) Bill is passed
"His Excellency Sheikh Ahmed Hamad Al Mualla, the newly appointed UAE Ambassador to Sri Lanka visited Parliament on 10th May 2018 to pay a courtesy call on the Hon. Speaker.",16-05-2018,UAE Ambassador visits Parliament
" “April Blooms 2018”, the annual summer Floral Contest organized by the Nuwara-Eliya Municipal Council was held on 20th and 21st of April 2018.,At this contest, General’s House – Nuwara Eliya (The Holiday Bungalow maintained by Parliament) received the First Place in the “Flower Garden (State Institution) - Large” category. They were also awarded the Second Place in the “Fence & Hedges (State Institution) - Large” and “Lawn - (State Institution) - Large” categories.",22-05-2018,General’s House receives Three awards at Nuwara Eliya “April Blooms 2018”
"The Parliament of Sri Lanka today approved its amended Standing Orders and a “Code of Conduct” for Members of Parliament. Accordingly, the Reports of the Committee on Standing Orders that were presented on November 07,, 2017 and today were considered and passed by the House. The Final Drafts of the amended Standing Orders and Code of Conduct were presented to the House last year, for the perusal of the Members of Parliament.,Standing Orders of Parliament were last amended about 25 years ago, on the 26, of February 1993, when provisions for the Committee on High Posts etc. were incorporated among other amendments. Amending of Standing Orders and drafting a Code of Conduct is the outcome of a nearly two-year long process that commenced at the end of 2015. The Committee on Standing Orders chaired by the Hon. Speaker, met for twelve times during this period, where it deliberated & discussed inputs from recommendations of the previous Committees appointed in Sixth and Seventh Parliaments, Members of Parliament, local & international scholars and experts in the field.  Additionally, a four-member Special Committee was also appointed to look into special matters and report to Parliament.,The need for a revision of Standing Orders was felt for some time to meet contemporary legislative requirements and to utilise modern technology for proceedings of the House and Committees. Some of the new amendments to the Standing Orders are;,The objective of the Code of Conduct for Members of Parliament is to assist the exercise, perform and discharge by them of their powers, functions and duties in order to fulfil their responsibilities to the Parliament, to their constituents, and the public at large. Every Member is expected to uphold the Code of Conduct, and any alleged unethical conduct by a Member or breach of any provision of the Code may be referred to the Committee on Ethics and Privileges, which in turn may investigate the matter and impose a sanction.,The Revised Standing Orders and the Code of Conduct will come into operation after a Speaker’s announcement.",07-03-2018,Parliament approves Revised Standing Orders and a Code of Conduct for MPs
"Leading a high-level Sri Lankan Parliamentary delegation to the 138th Assembly of the Inter-Parliamentary Union (IPU) being held from 24-28 March 2018 in Geneva, Hon. Karu Jayasuriya, Speaker of the Parliament of Sri Lanka addressed the assembly.,At this assembly, more than 740 MPs, including 65 Speakers of Parliament and 216 women parliamentarians will ensure that the interests of the 6.5 billion people they represent are part of the global negotiations on the new migration regime. At this assembly, more than 740 MPs, including 65 Speakers of Parliament and 216 women parliamentarians will ensure that the interests of the 6.5 billion people they represent are part of the global negotiations on the new migration regime. MPs will look in detail at their contribution to ensure the domestic enforcement of the two related Global Compacts expected to be adopted by the UN community later this year.,Sri Lanka delegation included Hon. R. M. Ranjith Madduma Bandara, Minister of Public Administration and Management and Minister of Law and Order, M.P., Hon. (Mrs.) Sriyani Wijewickrama, State Minister of Provincial Councils and Local Government, M.P., Hon. E. Saravanapavan, M.P., Hon. Kanchana Wijesekera, M.P. and Mr. Dhammika Dasanayake, Secretary-General of Parliament.",27-03-2018,Speaker Karu Jayasuriya addressed the 138th Inter-Parliamentary Union (IPU) Assembly in Geneva
"A Memorandum of Cooperation (MoC) was signed for the year of 2018 between the Office of the Secretary General of the Parliament and the Friedrich Naumann Foundation (FNF) on 23rd February 2018 in respect of the development of J.R. Jayewardene Centre as a Parliamentary Research and Training Institute.,Subsequent to the MoCs signed for years 2016 and 2017 this year FNF wishes to further facilitate the project of which the main objective is to provide the necessary information needs and research material to Members of Parliament, Members of Provincial Councils and other Political Representatives including Members of local government Institutions. The Institution will also conduct several academic courses relevant to Parliamentarians leading to academic qualifications from affiliated universities.,Hon. Karu Jayasuriya, Speaker, Mr. Dhammika Dasanayake, Secretary General of Parliament and Mrs. Sagarica Delgoda, Country Representative of FNF were present at this occasion.",27-02-2018,Setting up of the proposed Parliamentary Research and Training Institute partnering with the Friedrich Naumann Foundation (FNF)
"A delegation headed by Mr. Jeffrey Feltman, the Under Secretary General of Political Affairs of the United Nations met with the Speaker, Hon. Karu Jayasuriya at the Speaker Chamber of Parliament on 9th March 2018 and attended the Luncheon meeting hosted by the Speaker.,Hon. R. Sampanthan, Leader of the Opposition, Hon. Dinesh Gunawardena, M.P., Hon. (Dr.) Nalinda Jayathissa, M.P. and Mr Neil Iddawala, Deputy Secretary-General of Parliament joined with the Speaker at this discussion.",16-03-2018,Under Secretary General of Political Affairs of the United Nations meets Hon. Speaker
" #SDGDataLK, Sri Lanka’s First National Symposium on Data for the SDGs, was inaugurated with the presence of the Speaker of Parliament, Hon. Karu Jayasuriya, the Deputy Speaker of Parliament and Chairman of the Parliament Select Committee for the UN 2030 Agenda for Sustainable Development, Hon. Thilanga Sumpathipala, and the UN Resident Coordinator Ms. Simrin Singh. The two-day symposium is a platform for enhancing the use of data towards evidence-based policy making and coordination of monitoring the progress on the SDGs in Sri Lanka.,Ten sessions were conducted during the two days by 24 esteemed local and international resource persons. The sessions discussed three main points: 1) Impact and Importance of Data; 2) Context and Challenges of SDG data in Sri Lanka, and 3) Strategy and Way Forward in using data for the SDGs. The discussions will focus on the need for mapping baseline data in Sri Lanka, against the 244 SDG indicators, to understand where Sri Lanka currently stands in the journey towards achieving the SDGs by 2030.,Speaking at the event Hon. Thilanga Sumathipala, Deputy Speaker of Parliament, and Chairman of the Parliament Select Committee for the UN 2030 Agenda for Sustainable Development stated,,Further emphasizing, Hon. Deputy Speaker stated that the Government needs to have proper data unless the data is accurate it’s difficult to make an assessment. The Symposium is organised today for us to understand the importance of data i.e. why we need data, the methodology of data collection and how we can use data based on accuracy of data.  The information flow is taking time. We are behind in collecting data.  DCS has made a presentation to the government and the government is working towards it. Further it was said that, there is data at the lower level, data is collected at certain levels, but it does not come fast and there is no system to bring these data to the top level. Make sure we spend our money wisely through our national budget in order to collect data.  Once in every 3 months the Speaker of Parliament calls for a meeting with regard to SDG and it is discussed as to where we are on SDG and when we plan to publish our 2nd report. We have sent letters to government agencies through Mr Austin Fernando, Secretary to the President with templates in all 3 languages.,Further emphasizing, Hon. Deputy Speaker requested all present at the symposiums to make use of the 2 days and study the guide lines and get the proper data.,On an ending note Hon. Thilanga Sumathipala thanked all the UN agencies who are working towards the success of SDGs and specially thanked UNFPA for initiating the symposium in educating all agencies on data collection.,    ,    ",02-04-2018,Symposium on Data for SDGs
"The Minister of Lands and Parliamentary Reforms and the Chief Government Whip, Hon. Gayantha Karunatileka presented the Bill entitled “National Audit” to Parliament today. The Bill provides for the powers, duties and functions of the Audit Service Commission and the establishment of the office of the National Audit Office and the Sri Lanka State Audit Service. It also specifies the role of the Auditor General over public finance.",03-04-2018,“National Audit” Bill presented to Parliament
"The Vote of No Confidence on the Prime Minister and the Minister of National Policies and Economic Affairs, Hon. Ranil Wickremesinghe was negatived by the House after having taken a division by name. In the division taken at 9.30 p.m., 76 votes were cast in favour of the Motion, while 122 votes were cast against it.,The “No-confidence Motion” signed by 55 UPFA Members of Parliament, was handed over to the Hon. Speaker on the 21st of March 2018 and subsequently included in the , issued on 26.03.2018. Most of the points mentioned in the motion, associates with the Bond issue which occurred at the Central Bank of Sri Lanka.,This was the third occasion in the history of Parliament of Sri Lanka where a Vote of No Confidence against a Prime Minister was debated; the previous instances were in 1957 and 1975.",04-04-2018,Vote of No Confidence on the Prime Minister is Negatived
"The team representing Parliamentary Staff Sports Club emerged champions at the “Government Services Carrom Championship 2018” organized by the Government Services Carrom Association. They defeated the Colombo University team in the final match. Upali Premachandra, Rasika Rajapaksha, Priyantha Dharmasena, Sanjaya Fernando and A.A. Amarathunga were the players who represented the victorious parliament team.",06-04-2018,Government Service Carrom champions from Parliament
"Meeting of the Parliamentary Committee on Ensuring Communal and Religious Harmony in Sri Lanka will take place under the patronage of the Hon. Karu Jayasuriya, Speaker of Parliament on Thursday, the 19th April 2018 at 9.30 a.m. in Committee Room No. 01 of Parliament.",18-04-2018,Meeting of the Parliamentary Committee on Ensuring Communal and Religious Harmony in Sri Lanka
"His Excellency the President Maithripala Sirisena presided at the Ceremonial Sitting of Parliament for opening of the Second Session of the Eighth Parliament of the Democratic Socialist Republic of Sri Lanka.,The Secretary-General of Parliament read out the Proclamations issued by His Excellency the President proroguing Parliament and Summoning the Meeting. Thereafter, His Excellency the President addressed the Parliament.,The Parliament was, thereafter adjourned at 1505 Hrs. until 1300 Hrs. on Wednesday 9th May 2018.",08-05-2018,Proceedings of the Ceremonial Opening of Parliament
"A delegation headed by His Excellency Ali Ardeshir Larijani, the Speaker of the Islamic Parliament of Iran visited Parliament on 19th April 2018 and paid a courtesy call on the Speaker, Hon. Karu Jayasuriya.,Accordingly, the delegation attended the Luncheon meeting and was also conducted on a tour of Parliament.",24-04-2018,"Visit by H.E. Ali Ardeshir Larijani, Speaker of the Islamic Parliament of Iran"
"The Ceremonial Opening of the Second Session of the Eighth Parliament by H.E. the President Maithripala Sirisena will be held at 2.15 p.m. on Tuesday the 08, of May 2018. Following is the programme for the day;",02-05-2018,Ceremonial Opening of the 2nd Session of the 8th Parliament
"A workshop on ‘Developing a System of Checks and Balances through Legislative Oversight and Executive Collaboration’ was conducted by the Parliament of Sri Lanka in collaboration with the House Democracy Partnership (HDP) with the participation of the staff of the Parliament on 15, and 16, of February 2018 at the Committee Room No. 01 of Parliament.,The prime objective of this workshop was to share knowledge on oversight and collaboration between the executive branch and legislature. Mr. Brad Smith, Founding Staff Member of HDP and Mr. Scott Nemeth, HDP Program Officer of IRI participated as Resource persons at this workshop.",16-02-2018,Workshop on ‘Developing a System of Checks and Balances through Legislative Oversight and Executive Collaboration’
"Although the three days of October 30,, 31, and November 01, were previously assigned for the discussion of the Interim Report of the Steering Committee which has been presented including all the representations of each party, the Hon. Speaker has decided to allocate further time due to the large demand of every party to take part in the debate. Accordingly, today and the 08, of November of next week, which is a day before the Budget commences, has been allocated for that purpose.,There is a keen interest among Members of all political parties to express their views during this debate, and a number of MPs have requested the Speaker that a sufficient time be allocated to them for this purpose.,The Speaker appreciated this interest shown by all Members of Parliament, while pointing out that it was a fulfilment of one’s duty as a peoples’ representative to actively participate and voice an opinion in favour or against a very important matter related to the country. He assured that he will safeguard everyone’s right to speak in Parliament and to provide necessary time.",02-11-2017,Speaker decides to allocate additional time for debate on CA Steering Committee Interim Report
"A Felicitation Ceremony for the former Members of Parliament was held on the 2nd of November 2017 at 11.30 a.m. at the Hon. Speaker’s Official Residence as a part of the commemoration of the 70th Anniversary of Parliamentary Democracy in Sri Lanka. This event was organized under the guidance of the Hon. Karu Jayasuriya, Speaker of Parliament.,Hon. D.M. Jayaratne, Former Prime Minister of Sri Lanka, Hon. M. Joseph Michael Perera, Former Speaker of Parliament and Hon. W.J.M. Lokubandara, Former Speaker of Parliament were among the Former Members who were felicitated.",06-11-2017,Felicitation Ceremony for Former Members of Parliament
"The Committee on Public Accounts of the Parliament (COPA), under the direction of its Chairman Hon. Lasantha Alagiyawanna, implemented a web-based computer programme to evaluate all the 831 state institutions island-wide that come under the purview of the Committee. Having evaluated the data relating to the Financial Year 2015 obtained from all the institutions including the Ministries and Departments of the Government, Provincial Councils, District Secretariats and Local Government Authorities through this system, COPA made arrangements to present awards to 81 institutions that have achieved a high level of performance.,Accordingly, an award ceremony was held today, the 13th of November 2017, at 12.00 noon in the Committee Room No. 01 of the Parliament to recognise the institutions that showed a high level of performance for the financial year 2015. His Excellency the President was the Chief Guest while the Hon. Prime Minister and the Hon. Speaker were Guests of Honour. Ministers, Members of Parliament, Officials of state institutions and Parliament and other invitees were also present.,In recognition of the outstanding services rendered by the Department of Information Systems & Management of Parliament for the implementation of this system, a special achievement award was presented to its Director by His Excellency the President.",13-11-2017,Public Accounts Committee Management Information System (e-PAC) for performance evaluation for the financial year 2015 - Recognising the institutions with a high level of performance and National Award Ceremony
"The Inaugural Meeting of the Sri Lanka-Qatar Parliamentary Friendship Association was held on 28th November 2017 at Parliamentary complex with the participation of the Members of Parliament representing both Government and Opposition parties.,This meeting was chaired by the Hon. Thilanga Sumathipala, MP, Deputy Speaker of Parliament and Mr. Ibrahim Abdullah Al Sheriaim, First Secretary of the Embassy of the State of Qatar in Sri Lanka participated at this meeting representing the State of Qatar. The Hon. Mujibur Rahuman, MP and the Hon. (Prof.) Ashu Marasinghe, MP were appointed as the President and Secretary of the Friendship Association respectively.",29-11-2017,The Inaugural Meeting of the Sri Lanka-Qatar Parliamentary Friendship Association
"“Diyawanna Miyasisara”, a musical show organized to raise funds for the Parliamentary staff welfare & special projects committee, will be held on the 30, of November 2017 at 7.00 p.m. at the Nelum Pokuna Mahinda Rajapaksa Theatre.,Artists Sunil Edirisinghe, Amarasiri Peiris and Umaria Sinhawansa will perform at this event. Music direction is by Nawarathna Gamage and dance performances are by Channa Upuli Performing Arts Foundation.,Tickets can be purchased at Salaka Townhall, Sarasavi Bookshop Nugegoda, Parliament’s Jayanthipura Souvenir Shop, , website and at the gate.",15-11-2017,“Diyawanna Miyasisara” on November 30th
"The Global Evaluation Award offered to Parliamentarians worldwide, was conferred on Minister Hon. Kabir Hashim at Sri Lanka Parliament by the hands of H.E. the President on 13th November 2017 for the role he has performed by his high contribution to cultural evaluations in the process of sustainable development as the incumbent Chairman of the Global Parliamentarians' Forum and also as the first ever Member of Parliament who has emphasized the need of formulating national policies for the purpose.",14-11-2017,Global Evaluation Award to Hon. Kabir Hashim
"A delegation from the Sultanate of Oman led by Dr Yahya Mahfoodh Al Manthri, Chairman of the State Council (Speaker) arrived at the Parliament this morning on the invitation of the Speaker, Hon. Karu Jayasuriya. This delegation comprised of Members of the State Council of Oman, Abdullah Said Al Saifi, Dr (Ms) Muna Ahmed Al Saadoon, Dr Said Mubarak Al Muharrami, Dr Ismail Saleh Al Aghbari, Ms Sabah Bint Mohamed Al Bahlani and high-level officials.,Ministers Eran Wickramaratne, Lasantha Alagiyawanna, Faizal Cassim and Secretary-General of Parliament Mr Dhammika Dasanayake joined with Hon. Speaker, Karu Jayasuriya for discussions with the Oman delegation.,While the discussion specially focused on topics such as providing Sri Lankan professionals with suitable job opportunities, possibility of encouraging investors in Oman for business ventures in Sri Lanka, promoting partnerships with Sri Lanka in the tourism industry etc., the need to further strengthen inter-parliamentary diplomatic ties that have commenced between both countries was also emphasised.",05-12-2017,Parliamentary visit of the delegation from Oman
"A delegation from Japan led by Most Ven. Chohjun Ohtani, the President of Honganji Foundation, Japan visited on 9th January 2018 was extended a warm welcome at the Parliament complex. This delegation comprised of the His Excellency Mr. Kenichi Suganuma, Ambassador of Japan to Sri Lanka and high-level officials.,Accordingly, an Event to mark the 70th Year Independence of Sri Lanka and Reaffirmation of Japan-Sri Lanka Bonds was held at the Committee Room No. 1 of Parliament. The Hon. Karu Jayasuriya, the Speaker of the Parliament made the opening remarks and then, His Excellency Mr. Kenichi Suganuma, the Ambassador of Japan to Sri Lanka addressed the gathering.,Thereafter, the Hon. Ranil Wickramasinghe, the Prime Minister of Sri Lanka made his greeting speech and the Most Ven. Chohjun Ohtani, the President of Honganji Foundation, Japan delivered the keynote speech for the gathering. Finally, the Hon. Minister Navin Dissanayake, the President of Sri Lanka-Japan Parliamentary Friendship Association delivered the Vote of Thanks, concluding the event.,At their Parliament visit, the delegation also made a tour to the chamber of Parliament.",10-01-2018,An Event to mark the 70th Year Independence of Sri Lanka and Reaffirmation of Japan-Sri Lanka Bonds
"The High Commissioner of Pakistan in Sri Lanka, Mr Shahid Ahmad Hashmat met with Speaker, Hon. Karu Jayasuriya at the Parliament yesterday.,Thoughts were exchanged on the long standing friendship and strengthening the socio-economic ties of the two countries, and also on promoting regional cooperation.",07-12-2017,Pakistan High Commissioner meets Hon. Speaker
"A ceremony to award scholarships and stationery items for the children of the members of parliament staff was held at the Parliament complex today (Dec 15,) with the patronage & presence of the Speaker of Parliament, Hon. Karu Jayasuriya. This was organized by the Parliamentary staff welfare & special projects committee.,Children of parliament staff members were presented with stationery items, books, school bags, footwear etc., while those who had performed excellently at national-level examinations were awarded with scholarships as an encouragement for their future educational & extracurricular activities. Members of the staff who had excelled in sports at national & international level were also felicitated at the ceremony.,Deputy Speaker of Parliament, Hon. Thilanga Sumathipala, Minister of Lands and Parliamentary Reforms and the Chief Government Whip, Hon. Gayantha Karunatileka, Secretary-General of Parliament, Deputy Secretary-General, Assistant Secretaries-General, Department Heads, Members of the Staff & their children were also present at the occasion.",15-12-2017,Scholarships and school stationery awarding ceremony for children of Parliamentary Staff members
"The “Awards for Civilian Bravery” were held at the Committee Room 01 of the Parliament on the 10th of January 2018 under the patronage of Speaker Hon. Karu Jayasuriya. The awards were conferred by the Foundation for Civilian Bravery of Sri Lanka, of which the Hon. Speaker is the chief patron.,At this year’s ceremony, the “Asian Gold Medal of Civilian Bravery” was presented to Mr Laxmi Sundar Gainju, a 27-year-old Nepalese social worker. His efforts in assisting the victims and rescuing many a people during the earthquake of 2015 were recognised on this day. Thereafter, the first two Sri Lankans to complete their ascent to Mount Everest, Ms Jayanthi Kuru Utumpala and Mr Johann Peries, were conferred with the “Civilian Bravery Outstanding Courage Award” in recognition of their triumph over adversity. All three accolades were awarded by the Hon. Speaker.,The event was attended by many dignitaries including the High Commissioner of Nepal to Sri Lanka.",12-01-2018,Awards for Civilian Bravery
"The Reports of the Presidential Commission of Inquiry to investigate and inquire into the Issuance of Treasury Bonds by the Central Bank of Sri Lanka and the Presidential Commission of Inquiry to investigate and inquire into Serious Acts of Fraud, Corruption and Abuse of Power, State Resources and Privileges (PRECIFAC) were handed over to the Secretary General of Parliament on the 17th of January 2018.,Accordingly, a special press conference was held at a Committee Room of Parliament with the presence of the Hon. Karu Jayasuriya, Speaker of the Parliament, the Hon. Thilanga Sumathipala, Deputy Speaker of the Parliament, Secretary General of Parliament and Deputy Secretary General of Parliament.",18-01-2018,Reports of Bond Commission and PRECIFAC handed over to Parliament
"His Excellency CHENG Xueyuan, the newly appointed ambassador of the People's Republic of China to Sri Lanka visited Parliament on 24th January 2018 to pay a courtesy call on the Hon. Speaker. At his Parliament visit, he made a tour to the chamber of Parliament.",25-01-2018,Chinese Ambassador visits Parliament
"A delegation led by His Excellency Wang Qinmin, Vice Chairman of the National Committee of the Chinese People’s Political Consultative Conference (CPPCC) visited the Official Residence of the Speaker, Hon. Karu Jayasuriya and paid a courtesy call on 02nd February 2018.,The delegation also attended the Dinner Banquet hosted by the Speaker.",07-02-2018,"Visit by H.E. Wang Qinmin, Vice Chairman of CPPCC of China"
"“Parliamentary Forum on Early Childhood Development” will take place under the patronage of the Hon. Karu Jayasuriya, Speaker of Parliament on Tuesday, the 07th November 2017 from 9.30 a.m. to 11.30 a.m. in Committee Room No. 2 of Parliament for all Members of Parliament with the collaboration of the United Nations Children’s Fund. ,Dr. Michael Samson, Director of Research, Economic Policy Research Institution, Cape Town, South Africa and Mr. Tim Sutton, UNICEF Sri Lanka Representative will be participating as Key Experts at this forum.",02-11-2017,Parliamentary Forum on Early Childhood Development
